,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,16/03/2020,12:59:16
1,3,,,,,18/03/2020,07:53:07
2,6,,,,,19/03/2020,09:48:21
3,12,,,,,22/03/2020,12:18:47
4,13,,,,,26/03/2020,00:01:26
5,13,1.0,,,,27/03/2020,13:35:12
6,14,1.0,,,,28/03/2020,19:32:34
7,19,1.0,,,,30/03/2020,11:50:14
8,19,1.0,1.0,,,31/03/2020,07:35:12
9,20,1.0,1.0,,,01/04/2020,13:25:33
10,20,2.0,1.0,,,02/04/2020,12:58:46
11,20,3.0,1.0,,,03/04/2020,10:48:44
12,22,3.0,1.0,,,05/04/2020,19:37:00
13,24,3.0,1.0,,,06/04/2020,14:20:56
14,24,5.0,1.0,,,07/04/2020,10:39:06
15,25,5.0,1.0,,,08/04/2020,15:38:34
16,32,5.0,3.0,,,10/04/2020,13:07:56
17,49,7.0,3.0,,,13/04/2020,11:07:56
18,53,7.0,3.0,,,14/04/2020,17:00:03
19,59,7.0,3.0,,,15/04/2020,09:47:39
20,88,7.0,3.0,,,15/04/2020,15:12:35
21,88,11.0,4.0,,,15/04/2020,16:15:51
22,94,11.0,4.0,,,16/04/2020,12:36:35
23,147,11.0,5.0,,,17/04/2020,14:31:56
24,170,11.0,7.0,,,19/04/2020,15:35:55
25,254,11.0,10.0,,,20/04/2020,18:00:06
26,284,11.0,10.0,,,22/04/2020,09:17:40
27,284,48.0,10.0,,,24/04/2020,11:30:42
28,299,48.0,10.0,,,25/04/2020,05:31:17
29,306,48.0,10.0,,,29/04/2020,08:33:02
30,480,167.0,16.0,,,29/04/2020,13:06:19
31,509,183.0,21.0,,,08/05/2020,22:24:00
32,509,183.0,21.0,,59550338.0,27/05/2020,16:10:09
33,509,183.0,21.0,,60241098.0,23/10/2020,00:00:03
34,509,183.0,21.0,,60245765.0,23/10/2020,19:40:35
35,509,183.0,21.0,,60250432.0,24/10/2020,00:00:15
36,509,183.0,21.0,,60250432.0,24/10/2020,18:55:54
37,509,183.0,21.0,,60255099.0,25/10/2020,10:48:21
38,509,183.0,21.0,,60259767.0,26/10/2020,18:33:57
39,509,183.0,21.0,,60269101.0,28/10/2020,16:35:31
40,509,183.0,21.0,,60269101.0,28/10/2020,19:23:48
41,509,183.0,21.0,,60273769.0,29/10/2020,13:45:24
42,509,183.0,21.0,,60273769.0,29/10/2020,16:49:51
43,509,183.0,21.0,,60278436.0,30/10/2020,00:00:12
44,509,183.0,21.0,,60278436.0,30/10/2020,13:29:17
